zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled,percentageWithoutPower
70001,L,21753,1,1752519387288,29.98965,-90.1698,Entergy,2025-07-14 18:57:37.808404,0.0%
70002,L,11702,367,1752519387288,30.00777,-90.16195,Entergy,2025-07-14 18:57:37.808404,3.14%
70032,L,2826,12,1752519387288,29.96021,-89.99808,Entergy,2025-07-14 18:57:37.808404,0.42%
70037,L,7803,2,1752519387288,29.82797,-90.00612,Entergy,2025-07-14 18:57:37.808404,0.03%
70051,L,963,119,1752519387288,30.05733,-90.61796,Entergy,2025-07-14 18:57:37.808404,12.36%
70056,L,17848,15,1752519387288,29.90141,-90.03282,Entergy,2025-07-14 18:57:37.808404,0.08%
70062,L,9497,1,1752519387288,29.99237,-90.24308,Entergy,2025-07-14 18:57:37.808404,0.01%
70084,L,3149,5,1752519387288,30.05773,-90.55943,Entergy,2025-07-14 18:57:37.808404,0.16%
70112,L,2066,1,1752519387288,29.95373,-90.07588,Entergy,2025-07-14 18:57:37.808404,0.05%
70113,L,5213,1569,1752519387288,29.94368,-90.08069,Entergy,2025-07-14 18:57:37.808404,30.1%
70114,L,10782,1,1752519387288,29.93201,-90.02746,Entergy,2025-07-14 18:57:37.808404,0.01%
70115,L,20140,301,1752519387288,29.92749,-90.09866,Entergy,2025-07-14 18:57:37.808404,1.49%
70117,L,16881,32,1752519387288,29.97209,-90.03008,Entergy,2025-07-14 18:57:37.808404,0.19%
70118,L,16609,129,1752519387288,29.94923,-90.12312,Entergy,2025-07-14 18:57:37.808404,0.78%
70119,L,22264,1,1752519387288,29.97603,-90.08831,Entergy,2025-07-14 18:57:37.808404,0.0%
70125,L,8560,2,1752519387288,29.95059,-90.10177,Entergy,2025-07-14 18:57:37.808404,0.02%
70127,L,10624,1,1752519387288,30.03172,-89.9806,Entergy,2025-07-14 18:57:37.808404,0.01%
70130,L,10336,3357,1752519387288,29.94423,-90.07154,Entergy,2025-07-14 18:57:37.808404,32.48%
70131,L,11551,19,1752519387288,29.91693,-89.98767,Entergy,2025-07-14 18:57:37.808404,0.16%
70301,L,23136,1,1752519387288,29.79502,-90.81192,Entergy,2025-07-14 18:57:37.808404,0.0%
70346,L,5054,1,1752519387288,30.10494,-91.00106,Entergy,2025-07-14 18:57:37.808404,0.02%
70354,L,2183,4,1752519387288,29.4315,-90.29465,Entergy,2025-07-14 18:57:37.808404,0.18%
70357,L,1961,1,1752519387288,29.34235,-90.24689,Entergy,2025-07-14 18:57:37.808404,0.05%
70401,L,12224,15,1752519387288,30.52107,-90.47426,Entergy,2025-07-14 18:57:37.808404,0.12%
70403,L,15766,23,1752519387288,30.48397,-90.47833,Entergy,2025-07-14 18:57:37.808404,0.15%
70421,L,218,53,1752519387288,30.44117,-90.44018,Entergy,2025-07-14 18:57:37.808404,24.31%
70427,L,7612,8,1752519387288,30.76404,-89.88218,Entergy,2025-07-14 18:57:37.808404,0.11%
70444,L,3061,1,1752519387288,30.92522,-90.47398,Entergy,2025-07-14 18:57:37.808404,0.03%
70446,L,3315,1,1752519387288,30.62108,-90.37144,Entergy,2025-07-14 18:57:37.808404,0.03%
70454,L,17844,172,1752519387288,30.44136,-90.42073,Entergy,2025-07-14 18:57:37.808404,0.96%
70455,L,1421,1,1752519387288,30.51702,-90.33516,Entergy,2025-07-14 18:57:37.808404,0.07%
70513,L,209,17,1752519387288,29.90649,-91.90976,Entergy,2025-07-14 18:57:37.808404,8.13%
70517,L,2327,123,1752519387288,30.28614,-91.88271,Entergy,2025-07-14 18:57:37.808404,5.29%
70518,L,3072,4,1752519387288,30.13682,-91.95802,Entergy,2025-07-14 18:57:37.808404,0.13%
70533,L,1048,6,1752519387288,29.93667,-92.03978,Entergy,2025-07-14 18:57:37.808404,0.57%
70555,L,3939,16,1752519387288,30.07938,-92.13611,Entergy,2025-07-14 18:57:37.808404,0.41%
70560,L,5282,293,1752519387288,29.98533,-91.84989,Entergy,2025-07-14 18:57:37.808404,5.55%
70578,L,609,1,1752519387288,30.23032,-92.2659,Entergy,2025-07-14 18:57:37.808404,0.16%
70584,L,3149,1,1752519387288,30.40042,-92.08246,Entergy,2025-07-14 18:57:37.808404,0.03%
70601,L,17924,2,1752519387288,30.2245,-93.20581,Entergy,2025-07-14 18:57:37.808404,0.01%
70615,L,6065,21,1752519387288,30.24389,-93.15242,Entergy,2025-07-14 18:57:37.808404,0.35%
