zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled,percentageWithoutPower
38626,M,229,1,1752522627153,34.51057,-90.42836,Entergy,2025-07-14 19:50:56.051398,0.44%
38637,M,10252,65,1752522627153,34.95034,-90.04785,Entergy,2025-07-14 19:50:56.051398,0.63%
38639,M,459,1,1752522627153,34.31985,-90.45642,Entergy,2025-07-14 19:50:56.051398,0.22%
38671,M,21266,20,1752522627153,34.96785,-89.99781,Entergy,2025-07-14 19:50:56.051398,0.09%
38680,M,3301,1,1752522627153,34.95546,-90.12808,Entergy,2025-07-14 19:50:56.051398,0.03%
38720,M,151,1,1752522627153,34.12029,-90.74997,Entergy,2025-07-14 19:50:56.051398,0.66%
38769,M,1173,1,1752522627153,33.85364,-91.02217,Entergy,2025-07-14 19:50:56.051398,0.09%
38774,M,1030,1,1752522627153,33.95521,-90.76254,Entergy,2025-07-14 19:50:56.051398,0.1%
38928,M,310,1,1752522627153,33.82839,-90.29308,Entergy,2025-07-14 19:50:56.051398,0.32%
38929,M,718,25,1752522627153,33.76163,-89.56325,Entergy,2025-07-14 19:50:56.051398,3.48%
39042,M,11629,1,1752522627153,32.25413,-89.96423,Entergy,2025-07-14 19:50:56.051398,0.01%
39044,M,582,2,1752522627153,32.0194,-89.95914,Entergy,2025-07-14 19:50:56.051398,0.34%
39046,M,10258,6,1752522627153,32.61025,-90.01947,Entergy,2025-07-14 19:50:56.051398,0.06%
39051,M,2653,28,1752522627153,32.76198,-89.50652,Entergy,2025-07-14 19:50:56.051398,1.06%
39056,M,13099,1,1752522627153,32.34746,-90.32415,Entergy,2025-07-14 19:50:56.051398,0.01%
39059,M,4318,2,1752522627153,31.98759,-90.34964,Entergy,2025-07-14 19:50:56.051398,0.05%
39062,M,319,12,1752522627153,31.98261,-89.90166,Entergy,2025-07-14 19:50:56.051398,3.76%
39083,M,2731,1,1752522627153,31.8648,-90.41504,Entergy,2025-07-14 19:50:56.051398,0.04%
39090,M,2068,2,1752522627153,33.02358,-89.56855,Entergy,2025-07-14 19:50:56.051398,0.1%
39110,M,23174,3,1752522627153,32.48981,-90.12691,Entergy,2025-07-14 19:50:56.051398,0.01%
39120,M,11331,18,1752522627153,31.55832,-91.35712,Entergy,2025-07-14 19:50:56.051398,0.16%
39146,M,890,5,1752522627153,32.88834,-89.97759,Entergy,2025-07-14 19:50:56.051398,0.56%
39157,M,15159,2,1752522627153,32.41771,-90.13496,Entergy,2025-07-14 19:50:56.051398,0.01%
39167,M,145,3,1752522627153,32.09513,-90.04292,Entergy,2025-07-14 19:50:56.051398,2.07%
39169,M,890,353,1752522627153,33.17296,-90.22671,Entergy,2025-07-14 19:50:56.051398,39.66%
39180,M,15635,26,1752522627153,32.29153,-90.85439,Entergy,2025-07-14 19:50:56.051398,0.17%
39206,M,10907,6,1752522627153,32.36569,-90.17494,Entergy,2025-07-14 19:50:56.051398,0.06%
39212,M,11940,38,1752522627153,32.24771,-90.25779,Entergy,2025-07-14 19:50:56.051398,0.32%
39638,M,1629,51,1752522627153,31.19926,-91.0112,Entergy,2025-07-14 19:50:56.051398,3.13%
39645,M,1170,1,1752522627153,31.16462,-90.80817,Entergy,2025-07-14 19:50:56.051398,0.09%
39669,M,1517,9,1752522627153,31.11944,-91.33087,Entergy,2025-07-14 19:50:56.051398,0.59%
OTHER,M,2,2,1752522627153,,,Entergy,2025-07-14 19:50:56.051398,100.0%
